id,year,url_live,url_wayback
2018-0022,2018,https://www.aepd.es/documento/2018-0022.pdf,https://web.archive.org/web/20220307211116id_/https://www.aepd.es/documento/2018-0022.pdf
2018-0036,2018,https://www.aepd.es/documento/2018-0036.pdf,https://web.archive.org/web/20240330224407id_/https://www.aepd.es/documento/2018-0036.pdf
2018-0041,2018,https://www.aepd.es/documento/2018-0041.pdf,https://web.archive.org/web/20241117084141id_/https://www.aepd.es/documento/2018-0041.pdf
2018-0046,2018,https://www.aepd.es/es/documento/2018-0046.pdf,https://web.archive.org/web/20220302145044id_/https://www.aepd.es/es/documento/2018-0046.pdf
2018-0070,2018,https://www.aepd.es/documento/2018-0070.pdf,https://web.archive.org/web/20220307211038id_/https://www.aepd.es/documento/2018-0070.pdf
2018-0103,2018,https://www.aepd.es/documento/2018-0103.pdf,https://web.archive.org/web/20240518232654id_/https://www.aepd.es/documento/2018-0103.pdf
2018-0114,2018,https://www.aepd.es/documento/2018-0114.pdf,https://web.archive.org/web/20231014002740id_/https://www.aepd.es/documento/2018-0114.pdf
2018-0121,2018,https://www.aepd.es/documento/2018-0121.pdf,https://web.archive.org/web/20240406003816id_/https://www.aepd.es/documento/2018-0121.pdf
2018-0164,2018,https://www.aepd.es/documento/2018-0164.pdf,https://web.archive.org/web/20240330055019id_/https://www.aepd.es/documento/2018-0164.pdf
2018-0170,2018,https://www.aepd.es/documento/2018-0170.pdf,https://web.archive.org/web/20240422083635id_/https://www.aepd.es/documento/2018-0170.pdf
2018-0173,2018,https://www.aepd.es/documento/2018-0173.pdf,https://web.archive.org/web/20240405185318id_/https://www.aepd.es/documento/2018-0173.pdf
2018-0175,2018,https://www.aepd.es/documento/2018-0175.pdf,https://web.archive.org/web/20240613185225id_/https://www.aepd.es/documento/2018-0175.pdf
2018-0181,2018,https://www.aepd.es/documento/2018-0181.pdf,https://web.archive.org/web/20240405233637id_/https://www.aepd.es/documento/2018-0181.pdf
